Instrument         :,HElIOSb,072806,v2.04
Data Type          :,Scan
Scan Type          :,Standard
ID                 :,
Mode               :,Abs
Start Wavelength   :,350.0
Stop Wavelength    :,800.0
Bandwidth          :,2.0
Scan Speed         :,1200.0
Data Interval      :,1.0
Peak Table         :,Off
Lamp Change        :,325.0
Operator           :,
Smoothing          :,None
Reference          :,User Baseline
Number of Points   :,451
Date and Time      :,26-03-18,16:36:46

Wavelength,%T,Abs
350.0,3.3659,1.4729
351.0,3.3212,1.4787
352.0,3.2707,1.4854
353.0,3.2411,1.4894
354.0,3.1735,1.4986
355.0,3.1324,1.5042
356.0,3.0700,1.5130
357.0,3.0109,1.5214
358.0,2.9527,1.5299
359.0,2.8789,1.5408
360.0,2.8296,1.5483
361.0,2.7970,1.5534
362.0,2.7684,1.5579
363.0,2.7128,1.5667
364.0,2.6883,1.5706
365.0,2.6748,1.5728
366.0,2.6103,1.5834
367.0,2.5981,1.5854
368.0,2.5858,1.5875
369.0,2.5293,1.5971
370.0,2.5138,1.5998
371.0,2.4757,1.6064
372.0,2.4832,1.6050
373.0,2.4494,1.6110
374.0,2.3720,1.6250
375.0,2.3035,1.6377
376.0,2.2475,1.6483
377.0,2.1807,1.6615
378.0,2.0956,1.6787
379.0,2.0202,1.6947
380.0,1.9356,1.7132
381.0,1.8569,1.7313
382.0,1.7772,1.7503
383.0,1.7124,1.7664
384.0,1.6596,1.7801
385.0,1.5981,1.7964
386.0,1.5474,1.8105
387.0,1.5027,1.8232
388.0,1.4598,1.8358
389.0,1.4167,1.8487
390.0,1.3737,1.8622
391.0,1.3195,1.8796
392.0,1.2817,1.8922
393.0,1.2195,1.9139
394.0,1.1906,1.9243
395.0,1.1317,1.9463
396.0,1.0695,1.9709
397.0,1.0238,1.9898
398.0,0.9946,2.0024
399.0,0.9567,2.0193
400.0,0.9286,2.0322
401.0,0.8984,2.0465
402.0,0.8625,2.0643
403.0,0.8392,2.0761
404.0,0.8147,2.0890
405.0,0.7966,2.0988
406.0,0.7815,2.1071
407.0,0.7701,2.1135
408.0,0.7604,2.1190
409.0,0.7498,2.1250
410.0,0.7368,2.1326
411.0,0.7286,2.1375
412.0,0.7149,2.1457
413.0,0.6949,2.1581
414.0,0.6974,2.1566
415.0,0.6864,2.1634
416.0,0.6831,2.1655
417.0,0.6725,2.1723
418.0,0.6632,2.1783
419.0,0.6567,2.1826
420.0,0.6459,2.1899
421.0,0.6418,2.1926
422.0,0.6321,2.1993
423.0,0.6341,2.1979
424.0,0.6355,2.1969
425.0,0.6399,2.1939
426.0,0.6403,2.1936
427.0,0.6376,2.1954
428.0,0.6380,2.1952
429.0,0.6418,2.1926
430.0,0.6397,2.1940
431.0,0.6445,2.1908
432.0,0.6399,2.1939
433.0,0.6413,2.1929
434.0,0.6485,2.1881
435.0,0.6506,2.1867
436.0,0.6559,2.1832
437.0,0.6639,2.1779
438.0,0.6760,2.1700
439.0,0.6797,2.1677
440.0,0.6844,2.1647
441.0,0.7004,2.1547
442.0,0.7059,2.1513
443.0,0.7136,2.1465
444.0,0.7238,2.1404
445.0,0.7413,2.1300
446.0,0.7536,2.1228
447.0,0.7716,2.1126
448.0,0.7822,2.1067
449.0,0.7992,2.0973
450.0,0.8139,2.0895
451.0,0.8336,2.0790
452.0,0.8473,2.0720
453.0,0.8624,2.0643
454.0,0.8861,2.0526
455.0,0.9070,2.0424
456.0,0.9257,2.0336
457.0,0.9579,2.0188
458.0,0.9869,2.0058
459.0,1.0244,1.9896
460.0,1.0746,1.9688
461.0,1.1186,1.9514
462.0,1.1727,1.9309
463.0,1.2305,1.9100
464.0,1.2959,1.8875
465.0,1.3619,1.8659
466.0,1.4430,1.8408
467.0,1.5203,1.8182
468.0,1.5991,1.7962
469.0,1.6833,1.7739
470.0,1.7672,1.7528
471.0,1.8650,1.7294
472.0,1.9515,1.7098
473.0,2.0192,1.6949
474.0,2.0839,1.6812
475.0,2.1479,1.6681
476.0,2.2351,1.6508
477.0,2.3434,1.6303
478.0,2.4357,1.6135
479.0,2.5340,1.5963
480.0,2.6742,1.5729
481.0,2.7934,1.5540
482.0,2.9692,1.5274
483.0,3.1390,1.5033
484.0,3.3183,1.4791
485.0,3.5366,1.4514
486.0,3.7492,1.4261
487.0,3.9514,1.4033
488.0,4.2080,1.3759
489.0,4.4154,1.3550
490.0,4.6520,1.3323
491.0,4.9047,1.3094
492.0,5.1183,1.2909
493.0,5.3418,1.2723
494.0,5.5414,1.2564
495.0,5.7129,1.2431
496.0,5.9308,1.2269
497.0,6.1247,1.2130
498.0,6.3361,1.1981
499.0,6.6120,1.1797
500.0,6.8743,1.1628
501.0,7.1761,1.1441
502.0,7.4532,1.1277
503.0,7.8420,1.1056
504.0,8.1884,1.0868
505.0,8.5564,1.0678
506.0,8.8655,1.0523
507.0,9.1583,1.0383
508.0,9.3921,1.0273
509.0,9.5464,1.0202
510.0,9.6396,1.0160
511.0,9.6637,1.0149
512.0,9.6488,1.0156
513.0,9.6032,1.0176
514.0,9.5291,1.0210
515.0,9.4638,1.0239
516.0,9.4044,1.0267
517.0,9.3703,1.0283
518.0,9.3262,1.0303
519.0,9.2965,1.0317
520.0,9.2841,1.0323
521.0,9.2978,1.0316
522.0,9.3343,1.0300
523.0,9.3971,1.0271
524.0,9.4763,1.0234
525.0,9.5633,1.0195
526.0,9.6439,1.0158
527.0,9.6852,1.0140
528.0,9.6889,1.0138
529.0,9.6337,1.0163
530.0,9.5299,1.0209
531.0,9.3323,1.0301
532.0,9.1149,1.0403
533.0,8.8467,1.0533
534.0,8.5374,1.0688
535.0,8.2246,1.0849
536.0,7.9109,1.1018
537.0,7.6363,1.1171
538.0,7.3884,1.1315
539.0,7.2029,1.1425
540.0,6.9646,1.1572
541.0,6.7653,1.1697
542.0,6.6226,1.1790
543.0,6.4851,1.1881
544.0,6.3973,1.1940
545.0,6.3472,1.1974
546.0,6.3325,1.1984
547.0,6.3284,1.1987
548.0,6.3362,1.1981
549.0,6.3328,1.1984
550.0,6.3051,1.2003
551.0,6.2461,1.2044
552.0,6.1462,1.2114
553.0,6.0213,1.2203
554.0,5.8413,1.2335
555.0,5.6510,1.2479
556.0,5.4539,1.2633
557.0,5.2146,1.2828
558.0,5.0626,1.2956
559.0,4.8897,1.3107
560.0,4.7433,1.3240
561.0,4.5563,1.3414
562.0,4.3698,1.3596
563.0,4.2474,1.3719
564.0,4.1297,1.3841
565.0,4.0721,1.3902
566.0,4.0570,1.3918
567.0,4.0871,1.3886
568.0,4.1444,1.3826
569.0,4.2040,1.3763
570.0,4.2390,1.3727
571.0,4.2446,1.3722
572.0,4.2197,1.3747
573.0,4.1560,1.3813
574.0,4.0722,1.3902
575.0,3.9725,1.4010
576.0,3.8536,1.4142
577.0,3.7388,1.4273
578.0,3.6219,1.4411
579.0,3.5294,1.4523
580.0,3.6652,1.4359
581.0,3.5923,1.4446
582.0,3.5151,1.4541
583.0,3.4284,1.4649
584.0,3.3757,1.4716
585.0,3.3209,1.4787
586.0,3.2973,1.4819
587.0,3.2990,1.4816
588.0,3.3341,1.4770
589.0,3.4245,1.4654
590.0,3.5439,1.4506
591.0,3.7226,1.4292
592.0,3.9457,1.4039
593.0,4.1813,1.3787
594.0,4.5058,1.3462
595.0,4.7989,1.3189
596.0,5.1215,1.2906
597.0,5.4135,1.2665
598.0,5.7148,1.2430
599.0,5.9437,1.2260
600.0,6.1552,1.2108
601.0,6.2838,1.2018
602.0,6.4089,1.1932
603.0,6.5234,1.1855
604.0,6.6233,1.1790
605.0,6.6695,1.1759
606.0,6.6795,1.1753
607.0,6.6412,1.1778
608.0,6.5619,1.1830
609.0,6.4090,1.1932
610.0,6.2233,1.2060
611.0,5.9826,1.2231
612.0,5.7481,1.2405
613.0,5.4303,1.2652
614.0,5.0816,1.2940
615.0,4.7392,1.3243
616.0,4.3897,1.3576
617.0,4.0136,1.3965
618.0,3.6045,1.4432
619.0,3.3182,1.4791
620.0,2.9999,1.5230
621.0,2.8271,1.5487
622.0,2.5385,1.5955
623.0,2.3045,1.6375
624.0,2.0597,1.6863
625.0,1.8522,1.7324
626.0,1.6723,1.7768
627.0,1.4635,1.8347
628.0,1.3252,1.8777
629.0,1.1718,1.9312
630.0,1.0752,1.9685
631.0,0.9924,2.0034
632.0,0.9314,2.0309
633.0,0.8991,2.0462
634.0,0.8850,2.0531
635.0,0.8896,2.0508
636.0,0.9115,2.0403
637.0,0.9583,2.0186
638.0,1.0233,1.9901
639.0,1.1154,1.9526
640.0,1.2302,1.9101
641.0,1.3506,1.8695
642.0,1.4877,1.8275
643.0,1.6586,1.7804
644.0,1.8775,1.7265
645.0,2.2433,1.6492
646.0,2.6075,1.5838
647.0,3.2212,1.4921
648.0,3.9306,1.4055
649.0,4.7960,1.3191
650.0,5.9769,1.2235
651.0,7.3185,1.1356
652.0,8.6783,1.0617
653.0,10.1603,0.9932
654.0,11.6589,0.9334
655.0,13.2797,0.8769
656.0,14.7779,0.8305
657.0,16.3345,0.7870
658.0,17.7261,0.7515
659.0,18.9336,0.7228
660.0,20.0674,0.6976
661.0,21.0805,0.6762
662.0,21.9948,0.6578
663.0,22.6934,0.6442
664.0,23.6252,0.6267
665.0,24.5715,0.6096
666.0,25.4843,0.5938
667.0,26.3983,0.5784
668.0,27.4322,0.5617
669.0,28.3388,0.5477
670.0,29.3342,0.5326
671.0,30.2718,0.5190
672.0,31.1662,0.5063
673.0,31.8238,0.4973
674.0,32.6031,0.4867
675.0,33.2946,0.4777
676.0,33.8617,0.4703
677.0,34.3988,0.4635
678.0,34.8657,0.4576
679.0,35.3566,0.4515
680.0,35.6803,0.4475
681.0,35.9576,0.4442
682.0,36.2579,0.4406
683.0,36.4363,0.4385
684.0,36.7172,0.4352
685.0,36.9664,0.4321
686.0,37.2434,0.4289
687.0,37.5239,0.4257
688.0,37.7804,0.4227
689.0,38.1014,0.4190
690.0,38.3123,0.4167
691.0,38.6450,0.4129
692.0,38.9336,0.4097
693.0,39.1714,0.4070
694.0,39.4806,0.4036
695.0,39.7474,0.4007
696.0,40.0144,0.3978
697.0,40.2842,0.3949
698.0,40.5281,0.3923
699.0,40.8704,0.3886
700.0,41.1142,0.3860
701.0,41.3428,0.3836
702.0,41.5990,0.3809
703.0,41.8034,0.3788
704.0,42.0448,0.3763
