Instrument         :,HElIOSb,072806,v2.04
Data Type          :,Scan
Scan Type          :,Standard
ID                 :,
Mode               :,Abs
Start Wavelength   :,350.0
Stop Wavelength    :,800.0
Bandwidth          :,2.0
Scan Speed         :,1200.0
Data Interval      :,1.0
Peak Table         :,Off
Lamp Change        :,325.0
Operator           :,
Smoothing          :,None
Reference          :,User Baseline
Number of Points   :,451
Date and Time      :,26-03-18,16:43:50

Wavelength,%T,Abs
562.0,3.9297,1.4056
563.0,4.0428,1.3934
564.0,4.2183,1.3749
565.0,4.4267,1.3539
566.0,4.6518,1.3323
567.0,4.8914,1.3106
568.0,5.0410,1.2975
569.0,5.0762,1.2945
570.0,5.0068,1.3005
571.0,4.8426,1.3150
572.0,4.5864,1.3386
573.0,4.2671,1.3699
574.0,3.9347,1.4051
575.0,3.6185,1.4415
576.0,3.2922,1.4825
577.0,3.0303,1.5186
578.0,2.7905,1.5544
579.0,2.6200,1.5818
580.0,2.7288,1.5641
581.0,2.6262,1.5807
582.0,2.5334,1.5964
583.0,2.4514,1.6107
584.0,2.4224,1.6158
585.0,2.4307,1.6144
586.0,2.4898,1.6039
587.0,2.6321,1.5798
588.0,2.8228,1.5494
589.0,3.1288,1.5047
590.0,3.4794,1.4585
591.0,3.9222,1.4065
592.0,4.4046,1.3561
593.0,4.8568,1.3136
594.0,5.4053,1.2672
595.0,5.8400,1.2336
596.0,6.2492,1.2042
597.0,6.5711,1.1824
598.0,6.8352,1.1652
599.0,6.9909,1.1555
600.0,7.0771,1.1502
601.0,7.1009,1.1487
602.0,7.0883,1.1495
603.0,7.0234,1.1535
604.0,6.8704,1.1630
605.0,6.6616,1.1765
606.0,6.4044,1.1935
607.0,6.0948,1.2150
608.0,5.7676,1.2391
609.0,5.3602,1.2708
610.0,4.9896,1.3019
611.0,4.6155,1.3357
612.0,4.3220,1.3643
613.0,3.9904,1.3990
614.0,3.6822,1.4339
615.0,3.4307,1.4646
616.0,3.1961,1.4954
617.0,2.9796,1.5259
618.0,2.7550,1.5600
619.0,2.6039,1.5845
620.0,2.4467,1.6115
621.0,2.3597,1.6272
622.0,2.2132,1.6551
623.0,2.0932,1.6793
624.0,1.9593,1.7080
625.0,1.8409,1.7351
626.0,1.7313,1.7617
627.0,1.5922,1.7981
628.0,1.4916,1.8264
629.0,1.3664,1.8644
630.0,1.2762,1.8941
631.0,1.1876,1.9254
632.0,1.1132,1.9535
633.0,1.0609,1.9744
634.0,1.0237,1.9899
635.0,1.0037,1.9984
636.0,1.0018,1.9993
637.0,1.0190,1.9918
638.0,1.0517,1.9782
639.0,1.1038,1.9571
640.0,1.1706,1.9317
641.0,1.2423,1.9058
642.0,1.3223,1.8787
643.0,1.4230,1.8469
644.0,1.5623,1.8063
645.0,1.7670,1.7528
646.0,1.9842,1.7025
647.0,2.3567,1.6278
648.0,2.7968,1.5534
649.0,3.3391,1.4764
650.0,4.1752,1.3793
651.0,5.2226,1.2821
652.0,6.3411,1.1978
653.0,7.7040,1.1133
654.0,9.2098,1.0358
655.0,10.9389,0.9610
656.0,12.6441,0.8981
657.0,14.5042,0.8386
658.0,16.1826,0.7911
659.0,17.6830,0.7525
660.0,19.1134,0.7187
661.0,20.3773,0.6910
662.0,21.5087,0.6675
663.0,22.3929,0.6500
664.0,23.5280,0.6285
665.0,24.6497,0.6083
666.0,25.7465,0.5894
667.0,26.8046,0.5718
668.0,27.9224,0.5541
669.0,28.9342,0.5386
670.0,29.9490,0.5236
671.0,30.9177,0.5098
672.0,31.7747,0.4979
673.0,32.4200,0.4892
674.0,33.1531,0.4795
675.0,33.8269,0.4707
676.0,34.3676,0.4639
677.0,34.8657,0.4576
678.0,35.3908,0.4511
679.0,35.9010,0.4449
680.0,36.2540,0.4406
681.0,36.6073,0.4365
682.0,36.9435,0.4324
683.0,37.1809,0.4296
684.0,37.5712,0.4252
685.0,37.9168,0.4212
686.0,38.2778,0.4171
687.0,38.6793,0.4125
688.0,39.1126,0.4077
689.0,39.5729,0.4026
690.0,39.9452,0.3985
691.0,40.4224,0.3934
692.0,40.8171,0.3891
693.0,41.2189,0.3849
694.0,41.6115,0.3808
695.0,41.9646,0.3771
696.0,42.3022,0.3736
697.0,42.5585,0.3710
698.0,42.8218,0.3684
699.0,43.1096,0.3655
700.0,43.2811,0.3637
701.0,43.4626,0.3619
702.0,43.6558,0.3599
703.0,43.7344,0.3592
704.0,43.8580,0.3579
705.0,44.0141,0.3564
706.0,44.1158,0.3554
707.0,44.2160,0.3545
708.0,44.3307,0.3533
709.0,44.4412,0.3523
710.0,44.5324,0.3514
711.0,44.6286,0.3504
712.0,44.7229,0.3495
713.0,44.7783,0.3490
714.0,44.8728,0.3480
715.0,44.9572,0.3472
716.0,45.0832,0.3460
717.0,45.1771,0.3451
718.0,45.2921,0.3439
719.0,45.4501,0.3425
720.0,45.5627,0.3414
721.0,45.7008,0.3401
722.0,45.8265,0.3389
723.0,45.9251,0.3380
724.0,46.0802,0.3364
725.0,46.2966,0.3344
726.0,46.4965,0.3326
727.0,46.7494,0.3302
728.0,47.0303,0.3276
729.0,47.3139,0.3250
730.0,47.6444,0.3220
731.0,47.9568,0.3191
732.0,48.2681,0.3164
733.0,48.6126,0.3133
734.0,48.8647,0.3110
735.0,49.1815,0.3082
736.0,49.4480,0.3059
737.0,49.6457,0.3041
738.0,49.9030,0.3019
739.0,50.1576,0.2997
740.0,50.2995,0.2984
741.0,50.3843,0.2977
742.0,50.5618,0.2962
743.0,50.7193,0.2948
744.0,50.8448,0.2937
745.0,50.9316,0.2930
746.0,51.0802,0.2917
747.0,51.2510,0.2903
748.0,51.2809,0.2900
749.0,51.3521,0.2895
750.0,51.4898,0.2883
751.0,51.4369,0.2887
752.0,51.4561,0.2885
753.0,51.5199,0.2881
754.0,51.4125,0.2889
755.0,51.3678,0.2893
756.0,51.4065,0.2889
757.0,51.2839,0.2900
758.0,51.1923,0.2908
759.0,51.2241,0.2905
760.0,51.1578,0.2911
761.0,51.0513,0.2920
762.0,50.9577,0.2928
763.0,50.9524,0.2929
764.0,50.9578,0.2928
765.0,50.8593,0.2936
766.0,50.7224,0.2948
767.0,50.6974,0.2950
768.0,50.6561,0.2954
769.0,50.5183,0.2966
770.0,50.5470,0.2963
771.0,50.5780,0.2960
772.0,50.4574,0.2971
773.0,50.4668,0.2970
774.0,50.5668,0.2961
775.0,50.5290,0.2965
776.0,50.4875,0.2968
777.0,50.6804,0.2951
778.0,50.8126,0.2940
779.0,50.7586,0.2945
780.0,50.7764,0.2944
781.0,50.9840,0.2926
782.0,51.1730,0.2910
783.0,51.2132,0.2906
784.0,51.2747,0.2901
785.0,51.4858,0.2883
786.0,51.7543,0.2860
787.0,51.8634,0.2852
788.0,52.1154,0.2830
789.0,52.4613,0.2802
790.0,52.6034,0.2790
791.0,52.8064,0.2773
792.0,53.2299,0.2739
793.0,53.4237,0.2723
794.0,53.5876,0.2710
795.0,53.8806,0.2686
796.0,54.2247,0.2658
797.0,54.3459,0.2649
798.0,54.4652,0.2639
799.0,54.6038,0.2628
800.0,54.8571,0.2608
