Instrument         :,HElIOSb,072806,v2.04
Data Type          :,Scan
Scan Type          :,Standard
ID                 :,
Mode               :,Abs
Start Wavelength   :,350.0
Stop Wavelength    :,800.0
Bandwidth          :,2.0
Scan Speed         :,1200.0
Data Interval      :,1.0
Peak Table         :,Off
Lamp Change        :,325.0
Operator           :,
Smoothing          :,None
Reference          :,User Baseline
Number of Points   :,451
Date and Time      :,26-03-18,16:32:14

Wavelength,%T,Abs
350.0,5.4638,1.2625
351.0,5.4284,1.2654
352.0,5.3361,1.2728
353.0,5.2324,1.2813
354.0,5.1165,1.2910
355.0,5.0086,1.3003
356.0,4.9217,1.3079
357.0,4.8166,1.3173
358.0,4.6808,1.3297
359.0,4.5777,1.3394
360.0,4.4938,1.3474
361.0,4.3819,1.3583
362.0,4.2709,1.3695
363.0,4.1769,1.3792
364.0,4.0838,1.3890
365.0,4.0195,1.3958
366.0,3.9598,1.4023
367.0,3.8860,1.4105
368.0,3.7994,1.4203
369.0,3.6499,1.4377
370.0,3.5571,1.4489
371.0,3.4800,1.4584
372.0,4.0096,1.3969
373.0,3.8658,1.4127
374.0,3.6833,1.4338
375.0,3.5650,1.4479
376.0,3.4445,1.4629
377.0,3.3105,1.4801
378.0,3.1933,1.4958
379.0,3.0519,1.5155
380.0,2.9189,1.5349
381.0,2.8155,1.5505
382.0,2.7184,1.5658
383.0,2.6182,1.5821
384.0,2.5177,1.5991
385.0,2.4333,1.6139
386.0,2.3593,1.6273
387.0,2.2887,1.6405
388.0,2.2473,1.6484
389.0,2.1746,1.6627
390.0,2.1307,1.6716
391.0,2.0385,1.6907
392.0,1.9762,1.7043
393.0,1.8871,1.7243
394.0,1.8414,1.7349
395.0,1.7607,1.7544
396.0,1.7085,1.7674
397.0,1.6473,1.7833
398.0,1.5718,1.8037
399.0,1.5179,1.8188
400.0,1.4674,1.8335
401.0,1.4347,1.8433
402.0,1.3979,1.8546
403.0,1.3679,1.8640
404.0,1.3231,1.8785
405.0,1.2956,1.8876
406.0,1.2621,1.8990
407.0,1.2404,1.9065
408.0,1.2288,1.9105
409.0,1.2204,1.9136
410.0,1.2085,1.9178
411.0,1.1914,1.9240
412.0,1.1651,1.9337
413.0,1.1554,1.9373
414.0,1.1241,1.9492
415.0,1.1179,1.9516
416.0,1.0954,1.9605
417.0,1.0960,1.9602
418.0,1.0950,1.9606
419.0,1.0831,1.9654
420.0,1.0696,1.9708
421.0,1.0563,1.9762
422.0,1.0457,1.9807
423.0,1.0325,1.9861
424.0,1.0352,1.9850
425.0,1.0382,1.9837
426.0,1.0474,1.9799
427.0,1.0594,1.9750
428.0,1.0615,1.9741
429.0,1.0615,1.9741
430.0,1.0557,1.9765
431.0,1.0506,1.9786
432.0,1.0492,1.9792
433.0,1.0510,1.9784
434.0,1.0515,1.9782
435.0,1.0566,1.9761
436.0,1.0759,1.9683
437.0,1.1000,1.9586
438.0,1.1230,1.9496
439.0,1.1543,1.9377
440.0,1.1748,1.9301
441.0,1.1841,1.9266
442.0,1.1906,1.9243
