Instrument         :,HElIOSb,072806,v2.04
Data Type          :,Scan
Scan Type          :,Standard
ID                 :,
Mode               :,Abs
Start Wavelength   :,350.0
Stop Wavelength    :,800.0
Bandwidth          :,2.0
Scan Speed         :,1200.0
Data Interval      :,1.0
Peak Table         :,Off
Lamp Change        :,325.0
Operator           :,
Smoothing          :,None
Reference          :,User Baseline
Number of Points   :,451
443.0,1.1957,1.9225
444.0,1.2061,1.9187
445.0,1.2249,1.9120
446.0,1.2537,1.9019
447.0,1.2939,1.8881
448.0,1.3352,1.8745
449.0,1.3767,1.8612
450.0,1.4258,1.8460
451.0,1.4608,1.8354
452.0,1.4912,1.8265
453.0,1.5218,1.8177
454.0,1.5480,1.8103
455.0,1.5704,1.8040
456.0,1.6012,1.7956
457.0,1.6362,1.7862
458.0,1.6951,1.7709
459.0,1.7623,1.7540
460.0,1.8748,1.7271
461.0,1.9962,1.6999
462.0,2.1215,1.6735
463.0,2.2591,1.6462
464.0,2.4080,1.6184
465.0,2.5327,1.5965
466.0,2.6821,1.5716
467.0,2.8154,1.5505
468.0,2.9407,1.5317
469.0,3.0815,1.5114
470.0,3.2305,1.4908
471.0,3.4253,1.4653
472.0,3.6157,1.4418
473.0,3.7629,1.4245
474.0,3.9322,1.4054
475.0,4.0845,1.3889
476.0,4.3273,1.3638
477.0,4.6061,1.3367
478.0,4.8380,1.3154
479.0,5.0947,1.2929
480.0,5.4033,1.2673
481.0,5.6602,1.2471
482.0,5.9963,1.2221
483.0,6.2960,1.2009
484.0,6.6314,1.1785
485.0,7.0748,1.1503
486.0,7.5369,1.1229
487.0,8.0485,1.0943
488.0,8.7270,1.0592
489.0,9.3342,1.0300
490.0,10.0496,0.9979
491.0,10.8297,0.9654
492.0,11.5081,0.9390
493.0,12.1829,0.9143
494.0,12.7934,0.8931
495.0,13.2861,0.8767
496.0,13.9183,0.8565
497.0,14.4481,0.8402
498.0,14.9906,0.8243
499.0,15.7451,0.8029
500.0,16.4343,0.7843
501.0,17.2471,0.7633
502.0,17.9939,0.7449
503.0,19.1161,0.7187
504.0,20.1753,0.6953
505.0,21.3911,0.6699
506.0,22.5527,0.6469
507.0,23.8224,0.6231
508.0,25.0150,0.6019
509.0,26.0291,0.5846
510.0,26.9541,0.5694
511.0,27.7226,0.5572
512.0,28.2484,0.5490
513.0,28.6891,0.5423
514.0,29.0433,0.5369
515.0,29.2751,0.5335
516.0,29.4625,0.5307
517.0,29.5820,0.5290
518.0,29.7186,0.5270
519.0,29.8689,0.5248
520.0,30.0439,0.5222
521.0,30.2607,0.5191
522.0,30.4932,0.5158
523.0,30.7511,0.5121
524.0,31.0865,0.5074
525.0,31.4821,0.5019
526.0,31.8615,0.4967
527.0,32.2382,0.4916
528.0,32.5760,0.4871
529.0,32.8186,0.4839
530.0,33.0069,0.4814
531.0,33.1400,0.4797
532.0,33.1398,0.4797
533.0,33.0315,0.4810
534.0,32.8693,0.4832
535.0,32.6569,0.4861
536.0,32.3903,0.4896
537.0,32.1516,0.4928
538.0,31.8913,0.4963
539.0,31.6893,0.4991
540.0,31.4501,0.5024
541.0,31.2190,0.5056
542.0,31.0534,0.5079
543.0,30.8876,0.5102
544.0,30.7996,0.5115
545.0,30.7796,0.5117
546.0,30.8320,0.5110
547.0,30.9577,0.5092
548.0,31.1404,0.5067
549.0,31.3741,0.5034
550.0,31.6118,0.5002
551.0,31.8682,0.4967
552.0,32.1357,0.4930
553.0,32.3117,0.4907
554.0,32.5098,0.4880
555.0,32.6466,0.4862
556.0,32.7438,0.4849
557.0,32.8033,0.4841
558.0,32.8317,0.4837
559.0,32.8234,0.4838
560.0,32.8311,0.4837
561.0,32.8205,0.4838
562.0,32.7848,0.4843
563.0,32.8134,0.4839
564.0,32.8143,0.4839
565.0,32.8826,0.4830
566.0,32.9983,0.4815
567.0,33.1234,0.4799
568.0,33.2993,0.4776
569.0,33.4933,0.4750
570.0,33.6590,0.4729
571.0,33.7872,0.4712
572.0,33.8889,0.4699
573.0,33.9187,0.4696
574.0,33.9367,0.4694
575.0,33.9060,0.4697
576.0,33.8354,0.4706
577.0,33.7244,0.4721
578.0,33.5916,0.4738
579.0,33.4897,0.4751
580.0,33.2482,0.4782
581.0,33.2086,0.4787
582.0,33.1558,0.4794
583.0,33.1407,0.4797
584.0,33.1551,0.4795
585.0,33.2406,0.4783
586.0,33.3660,0.4767
587.0,33.5749,0.4740
588.0,33.7973,0.4711
589.0,34.1169,0.4670
590.0,34.4265,0.4631
591.0,34.7404,0.4592
592.0,35.1033,0.4547
593.0,35.3751,0.4513
594.0,35.7442,0.4468
595.0,36.0545,0.4430
596.0,36.3730,0.4392
597.0,36.6404,0.4361
598.0,36.9513,0.4323
599.0,37.2132,0.4293
600.0,37.4291,0.4268
601.0,37.5898,0.4249
602.0,37.7452,0.4231
603.0,37.9371,0.4210
604.0,38.1215,0.4188
605.0,38.2507,0.4174
606.0,38.4063,0.4156
607.0,38.4826,0.4147
608.0,38.5142,0.4144
609.0,38.4919,0.4147
610.0,38.4005,0.4156
611.0,38.2049,0.4179
612.0,38.0283,0.4199
613.0,37.7325,0.4233
614.0,37.3070,0.4282
615.0,36.9178,0.4327
616.0,36.4384,0.4384
617.0,35.9105,0.4448
618.0,35.2419,0.4530
619.0,34.7261,0.4594
620.0,34.1288,0.4669
621.0,33.7693,0.4715
622.0,33.1425,0.4796
623.0,32.5572,0.4873
624.0,31.8930,0.4963
625.0,31.2215,0.5056
626.0,30.5779,0.5146
627.0,29.6817,0.5275
628.0,28.9739,0.5380
629.0,28.0258,0.5524
630.0,27.2328,0.5649
631.0,26.4135,0.5782
632.0,25.6490,0.5910
633.0,25.1008,0.6004
634.0,24.7364,0.6067
635.0,24.6134,0.6089
636.0,24.7516,0.6065
637.0,25.2493,0.5978
638.0,25.9653,0.5856
639.0,26.9575,0.5693
640.0,28.0757,0.5517
641.0,29.1449,0.5355
642.0,30.2190,0.5197
643.0,31.3726,0.5034
644.0,32.7421,0.4849
645.0,34.3998,0.4634
646.0,35.8005,0.4461
647.0,37.5968,0.4249
648.0,39.1408,0.4074
649.0,40.4460,0.3932
650.0,41.8181,0.3787
651.0,42.8869,0.3677
652.0,43.5686,0.3609
653.0,44.1650,0.3550
654.0,44.4899,0.3518
655.0,44.7474,0.3493
656.0,44.9155,0.3476
657.0,45.0734,0.3461
658.0,45.1120,0.3457
659.0,45.1545,0.3453
660.0,45.2233,0.3446
661.0,45.2685,0.3442
662.0,45.3062,0.3438
663.0,45.3478,0.3434
664.0,45.3953,0.3430
665.0,45.4796,0.3422
666.0,45.5794,0.3412
667.0,45.7115,0.3399
668.0,45.8458,0.3387
669.0,46.0884,0.3364
670.0,46.3132,0.3343
671.0,46.6822,0.3309
672.0,46.9819,0.3280
673.0,47.2900,0.3252
674.0,47.6493,0.3219
675.0,48.0462,0.3183
676.0,48.3599,0.3155
677.0,48.6753,0.3127
678.0,49.0458,0.3094
679.0,49.3490,0.3067
680.0,49.5778,0.3047
681.0,49.8246,0.3026
682.0,49.9893,0.3011
683.0,50.0613,0.3005
684.0,50.2677,0.2987
685.0,50.4230,0.2973
686.0,50.5203,0.2966
687.0,50.6377,0.2955
688.0,50.7401,0.2946
689.0,50.7280,0.2947
690.0,50.7778,0.2943
691.0,50.7536,0.2945
692.0,50.6582,0.2953
693.0,50.6225,0.2957
694.0,50.4054,0.2975
695.0,50.3044,0.2984
696.0,50.1255,0.2999
697.0,49.8714,0.3021
698.0,49.7401,0.3033
699.0,49.4769,0.3056
700.0,49.2952,0.3072
701.0,49.2048,0.3080
702.0,49.0262,0.3096
703.0,48.8980,0.3107
704.0,48.7986,0.3116
705.0,48.7344,0.3121
706.0,48.5092,0.3142
707.0,48.4721,0.3145
708.0,48.4160,0.3150
709.0,48.3462,0.3156
710.0,48.4132,0.3150
711.0,48.3707,0.3154
712.0,48.4896,0.3143
713.0,48.5883,0.3135
714.0,48.6998,0.3125
715.0,48.9640,0.3101
716.0,49.1384,0.3086
717.0,49.3741,0.3065
718.0,49.6274,0.3043
719.0,49.8854,0.3020
720.0,50.1529,0.2997
721.0,50.4279,0.2973
722.0,50.6389,0.2955
723.0,50.8506,0.2937
724.0,51.1064,0.2915
725.0,51.4153,0.2889
726.0,51.7487,0.2861
727.0,52.0763,0.2834
728.0,52.4078,0.2806
729.0,52.7126,0.2781
730.0,53.0085,0.2757
731.0,53.2628,0.2736
732.0,53.5013,0.2717
733.0,53.6348,0.2706
734.0,53.7644,0.2695
735.0,53.8745,0.2687
736.0,53.8844,0.2686
737.0,53.9170,0.2683
738.0,53.9882,0.2677
739.0,53.8840,0.2686
740.0,53.8096,0.2692
741.0,53.7921,0.2693
742.0,53.7923,0.2693
743.0,53.6187,0.2707
744.0,53.4925,0.2717
745.0,53.3887,0.2726
746.0,53.3222,0.2731
747.0,53.0650,0.2753
748.0,52.8816,0.2767
749.0,52.7409,0.2779
750.0,52.4132,0.2806
751.0,52.2043,0.2823
752.0,52.0468,0.2836
753.0,51.7355,0.2862
754.0,51.6176,0.2872
755.0,51.5024,0.2882
756.0,51.2030,0.2907
757.0,51.1438,0.2912
758.0,51.1232,0.2913
759.0,50.9274,0.2931
760.0,50.8381,0.2938
761.0,50.8950,0.2933
762.0,50.9509,0.2929
763.0,50.9286,0.2931
764.0,50.7612,0.2945
765.0,50.8705,0.2935
766.0,51.0853,0.2917
767.0,51.0475,0.2920
768.0,51.0863,0.2917
769.0,51.3942,0.2891
770.0,51.4909,0.2883
771.0,51.5711,0.2876
772.0,51.9508,0.2844
773.0,52.2260,0.2821
774.0,52.2760,0.2817
775.0,52.7318,0.2780
776.0,53.0360,0.2755
777.0,53.1436,0.2746
778.0,53.4143,0.2724
779.0,53.8365,0.2690
780.0,54.0340,0.2673
781.0,54.1357,0.2665
782.0,54.3114,0.2651
783.0,54.7415,0.2617
784.0,55.0127,0.2596
785.0,55.0874,0.2590
786.0,55.3498,0.2569
787.0,55.8106,0.2533
788.0,55.9561,0.2522
789.0,56.0650,0.2513
790.0,56.5242,0.2478
791.0,56.6218,0.2471
792.0,56.5817,0.2474
793.0,56.8898,0.2450
794.0,57.0742,0.2436
795.0,56.8861,0.2450
796.0,56.9937,0.2442
797.0,57.1609,0.2429
798.0,57.1283,0.2431
799.0,56.9958,0.2442
800.0,56.8435,0.2454
