Instrument         :,HElIOSb,072806,v2.04
Data Type          :,Scan
Scan Type          :,Standard
ID                 :,
Mode               :,Abs
Start Wavelength   :,350.0
Stop Wavelength    :,800.0
Bandwidth          :,2.0
Scan Speed         :,1200.0
Data Interval      :,1.0
Peak Table         :,Off
Lamp Change        :,325.0
Operator           :,
Smoothing          :,None
Reference          :,User Baseline
Number of Points   :,451
435.0,0.7605,2.1189
436.0,0.7682,2.1145
437.0,0.7716,2.1126
438.0,0.7842,2.1056
439.0,0.7940,2.1002
440.0,0.8068,2.0932
441.0,0.8178,2.0873
442.0,0.8344,2.0786
443.0,0.8475,2.0719
444.0,0.8605,2.0653
445.0,0.8763,2.0574
446.0,0.8906,2.0503
447.0,0.9108,2.0406
448.0,0.9297,2.0317
449.0,0.9493,2.0226
450.0,0.9753,2.0110
451.0,0.9962,2.0017
452.0,1.0100,1.9958
453.0,1.0345,1.9853
454.0,1.0591,1.9751
455.0,1.0882,1.9634
456.0,1.1172,1.9519
457.0,1.1514,1.9388
458.0,1.1945,1.9229
459.0,1.2414,1.9061
460.0,1.2984,1.8866
461.0,1.3668,1.8643
462.0,1.4370,1.8426
463.0,1.5128,1.8202
464.0,1.6047,1.7947
465.0,1.6931,1.7714
466.0,1.8042,1.7438
467.0,1.9147,1.7180
468.0,2.0197,1.6948
469.0,2.1342,1.6709
470.0,2.2518,1.6475
471.0,2.3859,1.6224
472.0,2.5104,1.6003
473.0,2.5987,1.5853
474.0,2.6940,1.5697
475.0,2.7809,1.5559
476.0,2.9159,1.5353
477.0,3.0722,1.5126
478.0,3.2069,1.4940
479.0,3.3643,1.4731
480.0,3.5733,1.4469
481.0,3.7732,1.4233
482.0,4.0298,1.3947
483.0,4.2722,1.3694
484.0,4.5388,1.3430
485.0,4.8585,1.3135
486.0,5.1648,1.2869
487.0,5.4758,1.2616
488.0,5.8588,1.2322
489.0,6.1878,1.2085
490.0,6.5701,1.1825
491.0,6.9949,1.1553
492.0,7.3820,1.1319
493.0,7.7831,1.1089
494.0,8.1507,1.0888
495.0,8.4659,1.0724
496.0,8.8814,1.0515
497.0,9.2370,1.0345
498.0,9.6128,1.0171
499.0,10.1187,0.9949
500.0,10.5820,0.9755
501.0,11.1004,0.9547
502.0,11.5629,0.9370
503.0,12.1879,0.9141
504.0,12.7461,0.8947
505.0,13.3285,0.8753
506.0,13.8470,0.8587
507.0,14.3847,0.8421
508.0,14.8537,0.8283
509.0,15.2429,0.8170
510.0,15.6058,0.8068
511.0,15.9046,0.7986
512.0,16.1095,0.7930
513.0,16.2842,0.7883
514.0,16.4147,0.7848
515.0,16.4973,0.7827
516.0,16.5641,0.7809
517.0,16.6018,0.7799
518.0,16.6450,0.7788
519.0,16.6775,0.7779
520.0,16.7125,0.7771
521.0,16.7579,0.7758
522.0,16.7930,0.7750
523.0,16.8377,0.7738
524.0,16.8990,0.7722
525.0,16.9527,0.7708
526.0,17.0026,0.7696
527.0,17.0389,0.7686
528.0,17.0401,0.7686
529.0,17.0104,0.7694
530.0,16.9597,0.7707
531.0,16.8326,0.7739
532.0,16.6999,0.7773
533.0,16.5215,0.7820
534.0,16.3153,0.7875
535.0,16.1051,0.7931
536.0,15.8745,0.7994
537.0,15.6625,0.8052
538.0,15.4666,0.8106
539.0,15.3162,0.8149
540.0,15.1044,0.8209
541.0,14.9096,0.8266
542.0,14.7461,0.8314
543.0,14.5738,0.8365
544.0,14.4237,0.8410
545.0,14.2892,0.8450
546.0,14.1660,0.8489
547.0,14.0548,0.8522
548.0,13.9645,0.8551
549.0,13.8725,0.8579
550.0,13.7745,0.8610
551.0,13.6770,0.8640
552.0,13.5656,0.8676
553.0,13.4560,0.8711
554.0,13.3313,0.8752
555.0,13.2058,0.8793
556.0,13.0927,0.8830
557.0,12.9515,0.8877
558.0,12.8687,0.8905
559.0,12.7759,0.8936
560.0,12.6989,0.8963
561.0,12.6053,0.8995
562.0,12.5255,0.9022
563.0,12.4864,0.9036
564.0,12.4567,0.9047
565.0,12.4720,0.9041
566.0,12.5074,0.9029
567.0,12.5335,0.9020
568.0,12.5387,0.9018
569.0,12.4465,0.9050
570.0,12.3059,0.9100
571.0,12.0889,0.9176
572.0,11.7963,0.9283
573.0,11.4460,0.9414
574.0,11.0934,0.9550
575.0,10.7515,0.9686
576.0,10.3900,0.9834
577.0,10.0852,0.9964
578.0,9.8108,1.0084
579.0,9.6075,1.0174
580.0,9.5557,1.0198
581.0,9.4336,1.0253
582.0,9.3063,1.0312
583.0,9.2116,1.0357
584.0,9.1777,1.0373
585.0,9.2003,1.0363
586.0,9.2840,1.0323
587.0,9.4900,1.0228
588.0,9.7432,1.0113
589.0,10.1550,0.9934
590.0,10.6094,0.9743
591.0,11.1548,0.9526
592.0,11.7451,0.9302
593.0,12.2827,0.9108
594.0,12.9354,0.8883
595.0,13.4686,0.8708
596.0,13.9711,0.8549
597.0,14.3818,0.8422
598.0,14.7595,0.8310
599.0,15.0072,0.8238
600.0,15.2070,0.8180
601.0,15.3057,0.8152
602.0,15.3838,0.8130
603.0,15.4347,0.8116
604.0,15.4293,0.8118
605.0,15.3496,0.8140
606.0,15.2249,0.8175
607.0,15.0311,0.8230
608.0,14.8103,0.8295
609.0,14.4861,0.8391
610.0,14.1366,0.8497
611.0,13.7332,0.8623
612.0,13.3552,0.8744
613.0,12.8767,0.8903
614.0,12.3421,0.9087
615.0,11.8205,0.9274
616.0,11.2877,0.9474
617.0,10.7165,0.9700
618.0,10.0456,0.9981
619.0,9.5665,1.0193
620.0,9.0045,1.0456
621.0,8.6915,1.0609
622.0,8.1318,1.0898
623.0,7.6608,1.1158
624.0,7.1402,1.1463
625.0,6.6511,1.1772
626.0,6.2196,1.2062
627.0,5.6596,1.2472
628.0,5.2539,1.2795
629.0,4.7589,1.3225
630.0,4.4114,1.3555
631.0,4.0762,1.3897
632.0,3.8031,1.4199
633.0,3.6263,1.4406
634.0,3.5221,1.4532
635.0,3.4947,1.4566
636.0,3.5488,1.4499
637.0,3.7025,1.4315
638.0,3.9215,1.4065
639.0,4.2414,1.3725
640.0,4.6235,1.3350
641.0,5.0249,1.2989
642.0,5.4530,1.2633
643.0,5.9630,1.2246
644.0,6.6382,1.1780
645.0,7.5840,1.1201
646.0,8.5189,1.0697
647.0,9.9700,1.0013
648.0,11.5138,0.9388
649.0,13.2722,0.8771
650.0,15.4468,0.8112
651.0,17.7032,0.7520
652.0,19.7507,0.7045
653.0,21.8434,0.6607
654.0,23.7290,0.6248
655.0,25.5940,0.5919
656.0,27.1716,0.5659
657.0,28.6959,0.5422
658.0,29.9078,0.5242
659.0,30.9457,0.5094
660.0,31.8324,0.4971
661.0,32.5827,0.4870
662.0,33.2368,0.4784
663.0,33.7220,0.4721
664.0,34.3236,0.4644
665.0,34.8973,0.4572
666.0,35.4913,0.4498
667.0,35.9865,0.4438
668.0,36.5491,0.4371
669.0,37.0472,0.4312
670.0,37.5281,0.4257
671.0,38.0347,0.4198
672.0,38.4050,0.4156
673.0,38.7261,0.4120
674.0,39.0387,0.4085
675.0,39.3636,0.4049
676.0,39.5371,0.4030
677.0,39.7647,0.4005
678.0,39.9555,0.3984
679.0,40.1037,0.3968
680.0,40.2712,0.3950
681.0,40.3823,0.3938
682.0,40.4633,0.3930
683.0,40.5762,0.3917
684.0,40.7625,0.3898
685.0,40.8233,0.3891
686.0,40.9428,0.3878
687.0,41.1074,0.3861
688.0,41.2216,0.3849
689.0,41.3598,0.3834
690.0,41.5286,0.3817
691.0,41.6444,0.3805
692.0,41.8501,0.3783
693.0,42.0058,0.3767
694.0,42.1528,0.3752
695.0,42.3551,0.3731
696.0,42.4628,0.3720
697.0,42.6498,0.3700
698.0,42.8309,0.3683
699.0,42.9776,0.3667
700.0,43.1429,0.3651
701.0,43.2769,0.3637
702.0,43.3915,0.3626
703.0,43.4854,0.3617
704.0,43.6576,0.3599
705.0,43.7649,0.3589
706.0,43.8883,0.3577
707.0,44.0132,0.3564
708.0,44.1005,0.3556
709.0,44.2727,0.3539
710.0,44.3626,0.3530
711.0,44.4618,0.3521
712.0,44.5724,0.3510
713.0,44.6110,0.3506
714.0,44.7285,0.3494
715.0,44.7817,0.3489
716.0,44.8392,0.3484
717.0,44.9096,0.3477
718.0,44.9372,0.3474
719.0,44.9909,0.3469
720.0,45.0683,0.3461
721.0,45.0855,0.3460
722.0,45.1148,0.3457
723.0,45.1674,0.3452
724.0,45.1855,0.3450
725.0,45.2466,0.3444
726.0,45.3501,0.3434
727.0,45.4062,0.3429
728.0,45.4478,0.3425
729.0,45.5442,0.3416
730.0,45.5817,0.3412
731.0,45.6697,0.3404
732.0,45.7935,0.3392
733.0,45.8660,0.3385
734.0,46.0181,0.3371
735.0,46.0959,0.3363
736.0,46.1723,0.3356
737.0,46.3507,0.3339
738.0,46.4273,0.3333
739.0,46.4961,0.3326
740.0,46.6544,0.3311
741.0,46.7341,0.3304
742.0,46.7647,0.3301
743.0,46.7876,0.3298
744.0,46.9281,0.3286
745.0,47.0913,0.3271
746.0,47.1385,0.3266
747.0,47.2304,0.3258
748.0,47.4279,0.3240
749.0,47.4267,0.3240
750.0,47.6055,0.3224
751.0,47.7387,0.3212
752.0,47.7070,0.3214
753.0,47.8760,0.3199
754.0,47.9645,0.3190
755.0,47.9161,0.3195
756.0,48.0596,0.3182
757.0,48.1766,0.3172
758.0,48.0770,0.3180
759.0,48.1828,0.3171
760.0,48.3176,0.3159
761.0,48.3682,0.3154
762.0,48.2706,0.3163
763.0,48.2441,0.3165
764.0,48.3867,0.3152
765.0,48.4892,0.3143
766.0,48.4018,0.3151
767.0,48.3802,0.3153
768.0,48.5834,0.3135
769.0,48.4891,0.3143
770.0,48.4636,0.3146
771.0,48.6704,0.3128
772.0,48.6099,0.3133
773.0,48.5336,0.3140
774.0,48.7030,0.3124
775.0,48.7051,0.3124
776.0,48.5729,0.3136
777.0,48.7283,0.3122
778.0,48.8709,0.3109
779.0,48.7621,0.3119
780.0,48.6804,0.3127
781.0,48.8364,0.3112
782.0,48.9887,0.3099
783.0,48.9171,0.3105
784.0,48.8305,0.3113
785.0,48.9690,0.3101
786.0,49.0955,0.3090
787.0,48.9822,0.3100
788.0,49.0895,0.3090
789.0,49.3033,0.3072
790.0,49.1728,0.3083
791.0,49.2367,0.3077
792.0,49.5125,0.3053
793.0,49.4377,0.3060
794.0,49.4201,0.3061
795.0,49.6227,0.3044
796.0,49.7849,0.3029
797.0,49.6000,0.3045
798.0,49.6476,0.3041
799.0,49.8268,0.3026
800.0,49.9650,0.3013
