Instrument         :,HElIOSb,072806,v2.04
Data Type          :,Scan
Scan Type          :,Standard
ID                 :,
Mode               :,Abs
Start Wavelength   :,350.0
Stop Wavelength    :,800.0
Bandwidth          :,2.0
Scan Speed         :,1200.0
Data Interval      :,1.0
Peak Table         :,Off
Lamp Change        :,325.0
Operator           :,
Smoothing          :,None
Reference          :,User Baseline
Number of Points   :,451
Date and Time      :,26-03-18,16:34:22

Wavelength,%T,Abs
350.0,3.6853,1.4336
351.0,3.6305,1.4400
352.0,3.5746,1.4468
353.0,3.5560,1.4490
354.0,3.4754,1.4590
355.0,3.4089,1.4674
356.0,3.3575,1.4740
357.0,3.2976,1.4818
358.0,3.1891,1.4964
359.0,3.1294,1.5046
360.0,3.0866,1.5106
361.0,3.0523,1.5154
362.0,2.9945,1.5238
363.0,2.9498,1.5302
364.0,2.8934,1.5387
365.0,2.8805,1.5406
366.0,2.8739,1.5416
367.0,2.8437,1.5462
368.0,2.7907,1.5544
369.0,2.7853,1.5552
370.0,2.7467,1.5613
371.0,2.7114,1.5669
372.0,2.8429,1.5463
373.0,2.7855,1.5552
374.0,2.7156,1.5662
375.0,2.6455,1.5776
376.0,2.5775,1.5889
377.0,2.4798,1.6057
378.0,2.3906,1.6216
379.0,2.3130,1.6359
380.0,2.2151,1.6547
381.0,2.1245,1.6728
382.0,2.0446,1.6895
383.0,1.9780,1.7039
384.0,1.9055,1.7201
385.0,1.8321,1.7371
386.0,1.7828,1.7489
387.0,1.7201,1.7645
388.0,1.6745,1.7762
389.0,1.6282,1.7883
390.0,1.5854,1.7999
391.0,1.5219,1.8177
392.0,1.4730,1.8318
393.0,1.3999,1.8540
394.0,1.3561,1.8678
395.0,1.2900,1.8894
396.0,1.2414,1.9061
397.0,1.2025,1.9200
398.0,1.1552,1.9373
399.0,1.1101,1.9547
400.0,1.0688,1.9711
401.0,1.0356,1.9849
402.0,1.0027,1.9989
403.0,0.9670,2.0146
404.0,0.9444,2.0249
405.0,0.9259,2.0335
406.0,0.9050,2.0434
407.0,0.8862,2.0525
408.0,0.8717,2.0597
409.0,0.8531,2.0691
410.0,0.8436,2.0739
411.0,0.8413,2.0751
412.0,0.8243,2.0840
413.0,0.8074,2.0929
414.0,0.8026,2.0955
415.0,0.7816,2.1070
416.0,0.7780,2.1090
417.0,0.7677,2.1148
418.0,0.7583,2.1202
419.0,0.7494,2.1253
420.0,0.7412,2.1301
421.0,0.7359,2.1332
422.0,0.7296,2.1369
423.0,0.7253,2.1395
424.0,0.7247,2.1399
425.0,0.7249,2.1398
426.0,0.7264,2.1388
427.0,0.7241,2.1402
428.0,0.7286,2.1375
429.0,0.7337,2.1345
430.0,0.7365,2.1328
431.0,0.7402,2.1306
432.0,0.7459,2.1274
433.0,0.7469,2.1267
434.0,0.7502,2.1248
