Instrument         :,HElIOSb,072806,v2.04
Data Type          :,Scan
Scan Type          :,Standard
ID                 :,
Mode               :,Abs
Start Wavelength   :,350.0
Stop Wavelength    :,800.0
Bandwidth          :,2.0
Scan Speed         :,1200.0
Data Interval      :,1.0
Peak Table         :,Off
Lamp Change        :,325.0
Operator           :,
Smoothing          :,None
Reference          :,User Baseline
Number of Points   :,451
553.0,4.3469,1.3618
554.0,4.1424,1.3828
555.0,3.9996,1.3980
556.0,3.8984,1.4092
557.0,3.8308,1.4168
558.0,3.8095,1.4192
559.0,3.8082,1.4193
560.0,3.8268,1.4172
561.0,3.8784,1.4113
562.0,3.9713,1.4011
563.0,4.0680,1.3906
564.0,4.2140,1.3753
565.0,4.3647,1.3601
566.0,4.5278,1.3441
567.0,4.6671,1.3310
568.0,4.7211,1.3259
569.0,4.6682,1.3309
570.0,4.5287,1.3440
571.0,4.3208,1.3645
572.0,4.0383,1.3939
573.0,3.7268,1.4287
574.0,3.4257,1.4652
575.0,3.1506,1.5017
576.0,2.8855,1.5399
577.0,2.6780,1.5723
578.0,2.5054,1.6012
579.0,2.3902,1.6217
580.0,2.5636,1.5912
581.0,2.5024,1.6017
582.0,2.4548,1.6101
583.0,2.4298,1.6145
584.0,2.4454,1.6117
585.0,2.4978,1.6025
586.0,2.5921,1.5864
587.0,2.7724,1.5573
588.0,2.9819,1.5256
589.0,3.2943,1.4823
590.0,3.6361,1.4394
591.0,4.0424,1.3934
592.0,4.4681,1.3499
593.0,4.8515,1.3141
594.0,5.2934,1.2763
595.0,5.6267,1.2498
596.0,5.9141,1.2281
597.0,6.1199,1.2133
598.0,6.2668,1.2030
599.0,6.3259,1.1989
600.0,6.3333,1.1984
601.0,6.3068,1.2002
602.0,6.2474,1.2043
603.0,6.1468,1.2114
604.0,5.9738,1.2237
605.0,5.7589,1.2396
606.0,5.5332,1.2571
607.0,5.2773,1.2776
608.0,5.0238,1.2990
609.0,4.7250,1.3256
610.0,4.4719,1.3495
611.0,4.2190,1.3748
612.0,4.0268,1.3950
613.0,3.8070,1.4195
614.0,3.5998,1.4437
615.0,3.4172,1.4663
616.0,3.2374,1.4899
617.0,3.0562,1.5149
618.0,2.8532,1.5447
619.0,2.7030,1.5682
620.0,2.5325,1.5965
621.0,2.4366,1.6133
622.0,2.2627,1.6455
623.0,2.1155,1.6747
624.0,1.9489,1.7103
625.0,1.7962,1.7457
626.0,1.6590,1.7803
627.0,1.4801,1.8297
628.0,1.3595,1.8667
629.0,1.2072,1.9182
630.0,1.1059,1.9563
631.0,1.0072,1.9969
632.0,0.9259,2.0335
633.0,0.8698,2.0606
634.0,0.8313,2.0803
635.0,0.8073,2.0930
636.0,0.8021,2.0958
637.0,0.8088,2.0921
638.0,0.8320,2.0799
639.0,0.8710,2.0600
640.0,0.9211,2.0358
641.0,0.9799,2.0088
642.0,1.0480,1.9796
643.0,1.1340,1.9454
644.0,1.2563,1.9010
645.0,1.4519,1.8381
646.0,1.6638,1.7790
647.0,2.0525,1.6878
648.0,2.5168,1.5992
649.0,3.1110,1.5072
650.0,4.0431,1.3933
651.0,5.1971,1.2842
652.0,6.4068,1.1933
653.0,7.8285,1.1063
654.0,9.3365,1.0299
655.0,11.0070,0.9584
656.0,12.6143,0.8992
657.0,14.2952,0.8449
658.0,15.7967,0.8015
659.0,17.0952,0.7672
660.0,18.2836,0.7380
661.0,19.3707,0.7129
662.0,20.3237,0.6921
663.0,21.0121,0.6776
664.0,21.9253,0.6591
665.0,22.8662,0.6408
666.0,23.7044,0.6253
667.0,24.5288,0.6104
668.0,25.4137,0.5950
669.0,26.1641,0.5823
670.0,26.9863,0.5689
671.0,27.7060,0.5574
672.0,28.4339,0.5462
673.0,28.8885,0.5393
674.0,29.5186,0.5299
675.0,30.0517,0.5221
676.0,30.4929,0.5158
677.0,30.9869,0.5088
678.0,31.3457,0.5038
679.0,31.8550,0.4968
680.0,32.1511,0.4928
681.0,32.4138,0.4893
682.0,32.7563,0.4847
683.0,33.0152,0.4813
684.0,33.3489,0.4769
685.0,33.6249,0.4733
686.0,34.0291,0.4682
687.0,34.3784,0.4637
688.0,34.7238,0.4594
689.0,35.2363,0.4530
690.0,35.5327,0.4494
691.0,35.9819,0.4439
692.0,36.3963,0.4389
693.0,36.6992,0.4354
694.0,37.1307,0.4302
695.0,37.4056,0.4271
696.0,37.6788,0.4239
697.0,38.0231,0.4200
698.0,38.2099,0.4178
699.0,38.5312,0.4142
700.0,38.7137,0.4122
701.0,38.8338,0.4108
702.0,39.0568,0.4083
703.0,39.1857,0.4069
704.0,39.2811,0.4058
705.0,39.4892,0.4035
706.0,39.6342,0.4019
707.0,39.7169,0.4010
708.0,39.8893,0.3991
709.0,40.0651,0.3972
710.0,40.1376,0.3965
711.0,40.3963,0.3937
712.0,40.4687,0.3929
713.0,40.6368,0.3911
714.0,40.8404,0.3889
715.0,40.9431,0.3878
716.0,41.1800,0.3853
717.0,41.3474,0.3836
718.0,41.4697,0.3823
719.0,41.7366,0.3795
720.0,41.8890,0.3779
721.0,42.0442,0.3763
722.0,42.2213,0.3745
723.0,42.4217,0.3724
724.0,42.5607,0.3710
725.0,42.7746,0.3688
726.0,43.0596,0.3659
727.0,43.3073,0.3634
728.0,43.5883,0.3606
729.0,43.8777,0.3578
730.0,44.1363,0.3552
731.0,44.4300,0.3524
732.0,44.6377,0.3503
733.0,44.9299,0.3475
734.0,45.1022,0.3458
735.0,45.2488,0.3444
736.0,45.4633,0.3424
737.0,45.5933,0.3411
738.0,45.6399,0.3406
739.0,45.8132,0.3390
740.0,45.9236,0.3380
741.0,45.9020,0.3382
742.0,45.8793,0.3384
743.0,45.9735,0.3375
744.0,46.0857,0.3364
745.0,46.0159,0.3371
746.0,45.9849,0.3374
747.0,46.0931,0.3363
748.0,46.0746,0.3365
749.0,45.9148,0.3381
750.0,46.0309,0.3369
751.0,45.9111,0.3381
752.0,45.7654,0.3394
753.0,45.9093,0.3381
754.0,45.7315,0.3398
755.0,45.5979,0.3411
756.0,45.7640,0.3394
757.0,45.6686,0.3404
758.0,45.4961,0.3421
759.0,45.6516,0.3405
760.0,45.7399,0.3397
761.0,45.6284,0.3408
762.0,45.5054,0.3420
763.0,45.5917,0.3411
764.0,45.7992,0.3391
765.0,45.8166,0.3390
766.0,45.6830,0.3402
767.0,45.8689,0.3385
768.0,46.1104,0.3362
769.0,46.0156,0.3371
770.0,46.2610,0.3348
771.0,46.6028,0.3316
772.0,46.5222,0.3323
773.0,46.7265,0.3304
774.0,47.1773,0.3262
775.0,47.2031,0.3260
776.0,47.2753,0.3254
777.0,47.7707,0.3208
778.0,48.0305,0.3185
779.0,47.9521,0.3192
780.0,48.0311,0.3185
781.0,48.4994,0.3142
782.0,48.8081,0.3115
783.0,48.7453,0.3120
784.0,48.8407,0.3112
785.0,49.2756,0.3074
786.0,49.5517,0.3049
787.0,49.4567,0.3058
788.0,49.8711,0.3021
789.0,50.2270,0.2991
790.0,50.0811,0.3003
791.0,50.3353,0.2981
792.0,50.7501,0.2946
793.0,50.6232,0.2957
794.0,50.6351,0.2956
795.0,50.9822,0.2926
796.0,51.0980,0.2915
797.0,50.7992,0.2942
798.0,50.8463,0.2937
799.0,51.0419,0.2921
800.0,51.1992,0.2908
