Instrument         :,HElIOSb,072806,v2.04
Data Type          :,Scan
Scan Type          :,Standard
ID                 :,
Mode               :,Abs
Start Wavelength   :,350.0
Stop Wavelength    :,800.0
Bandwidth          :,2.0
Scan Speed         :,1200.0
Data Interval      :,1.0
Peak Table         :,Off
Lamp Change        :,325.0
Operator           :,
Smoothing          :,None
Reference          :,User Baseline
Number of Points   :,451
Date and Time      :,26-03-18,16:40:28

Wavelength,%T,Abs
350.0,3.3922,1.4695
351.0,3.3200,1.4789
352.0,3.2906,1.4827
353.0,3.2237,1.4917
354.0,3.1720,1.4987
355.0,3.1362,1.5037
356.0,3.0645,1.5137
357.0,2.9927,1.5240
358.0,2.9291,1.5334
359.0,2.8555,1.5444
360.0,2.8067,1.5519
361.0,2.7581,1.5595
362.0,2.7061,1.5677
363.0,2.6653,1.5743
364.0,2.6206,1.5817
365.0,2.5889,1.5869
366.0,2.5627,1.5913
367.0,2.5571,1.5923
368.0,2.5001,1.6021
369.0,2.4684,1.6077
370.0,2.4413,1.6125
371.0,2.4146,1.6172
372.0,2.3731,1.6248
373.0,2.3290,1.6329
374.0,2.2415,1.6496
375.0,2.1851,1.6606
376.0,2.1329,1.6711
377.0,2.0507,1.6882
378.0,1.9820,1.7030
379.0,1.9070,1.7197
380.0,1.8004,1.7447
381.0,1.7260,1.7630
382.0,1.6679,1.7779
383.0,1.5980,1.7964
384.0,1.5279,1.8160
385.0,1.4831,1.8289
386.0,1.4241,1.8465
387.0,1.3757,1.8615
388.0,1.3487,1.8702
389.0,1.3097,1.8829
390.0,1.2693,1.8965
391.0,1.2063,1.9186
392.0,1.1749,1.9301
393.0,1.1017,1.9580
394.0,1.0704,1.9705
395.0,1.0265,1.9887
396.0,0.9782,2.0096
397.0,0.9369,2.0284
398.0,0.9015,2.0451
399.0,0.8601,2.0655
400.0,0.8368,2.0774
401.0,0.8020,2.0958
402.0,0.7742,2.1112
403.0,0.7538,2.1227
404.0,0.7263,2.1389
405.0,0.7064,2.1509
406.0,0.6872,2.1629
407.0,0.6773,2.1692
408.0,0.6618,2.1793
409.0,0.6502,2.1870
410.0,0.6472,2.1889
411.0,0.6418,2.1926
412.0,0.6304,2.2004
413.0,0.6146,2.2114
414.0,0.6090,2.2154
415.0,0.5985,2.2230
416.0,0.5887,2.2301
417.0,0.5891,2.2298
418.0,0.5779,2.2381
419.0,0.5682,2.2455
420.0,0.5602,2.2517
421.0,0.5560,2.2549
422.0,0.5489,2.2606
423.0,0.5510,2.2589
424.0,0.5480,2.2612
425.0,0.5468,2.2622
426.0,0.5450,2.2636
427.0,0.5466,2.2624
428.0,0.5466,2.2624
429.0,0.5468,2.2622
430.0,0.5459,2.2629
431.0,0.5460,2.2628
432.0,0.5439,2.2645
433.0,0.5484,2.2609
434.0,0.5518,2.2582
435.0,0.5508,2.2590
436.0,0.5556,2.2552
437.0,0.5628,2.2496
438.0,0.5672,2.2462
439.0,0.5763,2.2393
440.0,0.5796,2.2368
441.0,0.5852,2.2327
442.0,0.5935,2.2266
443.0,0.6038,2.2191
444.0,0.6131,2.2125
445.0,0.6225,2.2059
446.0,0.6342,2.1978
447.0,0.6503,2.1869
448.0,0.6587,2.1814
449.0,0.6694,2.1744
450.0,0.6786,2.1684
451.0,0.6926,2.1596
452.0,0.7035,2.1528
453.0,0.7199,2.1427
454.0,0.7356,2.1334
455.0,0.7499,2.1250
456.0,0.7772,2.1095
457.0,0.7960,2.0991
458.0,0.8258,2.0831
459.0,0.8523,2.0695
460.0,0.8945,2.0485
461.0,0.9309,2.0312
462.0,0.9660,2.0150
463.0,1.0125,1.9947
464.0,1.0664,1.9721
465.0,1.1201,1.9508
466.0,1.1917,1.9239
467.0,1.2617,1.8991
468.0,1.3336,1.8750
469.0,1.4101,1.8508
470.0,1.4831,1.8289
471.0,1.5701,1.8041
472.0,1.6422,1.7847
473.0,1.6951,1.7709
474.0,1.7448,1.7583
475.0,1.7915,1.7469
476.0,1.8627,1.7300
477.0,1.9453,1.7111
478.0,2.0140,1.6960
479.0,2.0979,1.6783
480.0,2.2089,1.6559
481.0,2.3189,1.6348
482.0,2.4766,1.6062
483.0,2.6346,1.5794
484.0,2.8000,1.5529
485.0,2.9989,1.5231
486.0,3.1780,1.4979
487.0,3.3478,1.4753
488.0,3.5428,1.4507
489.0,3.6935,1.4326
490.0,3.8720,1.4120
491.0,4.0526,1.3923
492.0,4.2194,1.3748
493.0,4.3915,1.3574
494.0,4.5624,1.3408
495.0,4.7160,1.3264
496.0,4.9233,1.3078
497.0,5.1143,1.2912
498.0,5.3220,1.2740
499.0,5.6057,1.2514
500.0,5.8758,1.2309
501.0,6.1769,1.2093
502.0,6.4377,1.1913
503.0,6.7756,1.1691
504.0,7.0423,1.1523
505.0,7.2852,1.1376
506.0,7.4556,1.1276
507.0,7.5917,1.1197
508.0,7.6549,1.1161
509.0,7.6735,1.1151
510.0,7.6738,1.1150
511.0,7.6703,1.1153
512.0,7.6766,1.1149
513.0,7.6938,1.1139
514.0,7.7271,1.1120
515.0,7.7724,1.1095
516.0,7.8301,1.1062
517.0,7.8709,1.1040
518.0,7.9275,1.1009
519.0,7.9879,1.0976
520.0,8.0649,1.0934
521.0,8.1174,1.0906
522.0,8.1595,1.0884
523.0,8.1800,1.0873
524.0,8.1741,1.0876
525.0,8.1205,1.0905
526.0,8.0274,1.0955
527.0,7.8877,1.1031
528.0,7.6917,1.1140
529.0,7.5047,1.1247
530.0,7.2973,1.1369
531.0,7.0473,1.1520
532.0,6.8486,1.1644
533.0,6.6663,1.1761
534.0,6.4995,1.1871
535.0,6.3795,1.1952
536.0,6.2874,1.2015
537.0,6.2278,1.2057
538.0,6.1911,1.2083
539.0,6.1681,1.2099
540.0,6.1596,1.2105
541.0,6.1521,1.2110
542.0,6.1475,1.2113
543.0,6.1264,1.2128
544.0,6.0949,1.2150
545.0,6.0248,1.2201
546.0,5.9084,1.2286
547.0,5.7506,1.2403
548.0,5.5712,1.2541
549.0,5.3213,1.2740
550.0,5.0779,1.2943
551.0,4.8117,1.3177
552.0,4.5553,1.3415
